"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"9638ff15fd0b52a8f2f63aea42e110718925c1f6","   9612","Canis lupus","species","0.9920","Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"e3caf0468fe15233a4cdfe108bb8c61536922644","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"3c60cbebed28d0e4e883843063e4c0eb6421469d","   9681","Felidae","family","0.9947","Metazoa","Chordata","Mammalia","Carnivora","Felidae","",""
"670d0e0adec0e0e739d677eb809460fd07d7159f"," 504568","Salmoninae","subfamily","0.9369","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"1317332917439c42bfef5421262abe6879941a78","   9606","Homo sapiens","species","0.9981","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"bb31884877f28d406f4bdd71321473dd45ea2309","   9347","Eutheria","clade","0.9983","Metazoa","Chordata","Mammalia","","","",""
"cadbacb61f302f78bafa2973a0f13480b8ec1f33"," 504568","Salmoninae","subfamily","0.9354","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"82aace1aee49024fe92268819616077ab75d3f8c","   9611","Canis","genus","0.9998","Metazoa","Chordata","Mammalia","Carnivora","Canidae","Canis",""
"393dadd17257c5a537f8660bf34352f25ab0e534","  33213","Bilateria","clade","1.0000","Metazoa","","","","","",""
"60add8b4ce9b82812fcb0e4d8619ee06fa39a3f3"," 504568","Salmoninae","subfamily","0.9999","Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"5d9ab9485d4035fa7d5f23b4a07ebf85cd1f5218","   9307","Macropodidae","family","0.9866","Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","",""
"63b7959bbc0453212dd3b7cd465ece3db654600b","   8295","Ambystoma","genus","1.0000","Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
"08cb2137b670c3d0b781b6c176678e956fa3aa31","   9606","Homo sapiens","species","0.9983","Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"6895db2392d1519c15f1e6223287c3aee3833adc"," 337687","Muroidea","clade","1.0000","Metazoa","Chordata","Mammalia","Rodentia","","",""
"3b5fa214bb33f5dbc33289f168ba980dd447765f","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"c98ce99c7c1b0b02fd0d6d7552346476e406191b","      1","root","no rank","1.0000","","","","","","",""
"e7003670f9441d347502b4acf971abd6bbda2989","   8112","Percoidei","suborder","0.9310","Metazoa","Chordata","Actinopteri","Perciformes","","",""
"82451a556cf9a308b1c245c69360390281005870","   9347","Eutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"83789b2f1200fa857a6d388511fda1051cc98435","   9682","Felis","genus","1.0000","Metazoa","Chordata","Mammalia","Carnivora","Felidae","Felis",""
