"","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"ba4e8aea1482a629eeacaf71454461a4481a71f9"," 504568","Salmoninae","subfamily",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"113104dbb24d08eb0a915761014057949244d2f8","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"a063426f772884f30d15fbd51a06b72d4957bdde","      1","root","no rank","1.0000","","","","","","",""
"4bca755d81a72295af9494c96aa1c8d8da852187","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"75fcf5debeff2937fb1e33c79d93633bc045cdb6","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"65f01e7c762c3af103498d6a26719c3c8a69f146","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
"b2612971d3e20095dd9ce4088e6b72faa9f25090"," 126287","Didelphinae","subfamily","0.9998","Metazoa","Chordata","Mammalia","Didelphimorphia","Didelphidae","",""
"02e4a86c119ca4b65e5b616135fa996aa2eb4372","   8019","Oncorhynchus kisutch","species",NA,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"482dd87ad7fd2ed0427383e4d62983daac55f1d6","   9605","Homo","genus",NA,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo",""
"1e64f0ceec8e870bc4e0a3f180504b589ba7eef8","1437010","Boreoeutheria","clade","1.0000","Metazoa","Chordata","Mammalia","","","",""
