"Sample_name","class","species","tot"
"MiFish.0521.4Pad.Up11.1","Actinopteri","Oncorhynchus kisutch",26143
"MiFish.0521.4Pad.Up11.1","Actinopteri","Oncorhynchus mykiss",8372
"MiFish.0521.4Pad.Up11.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",3
"MiFish.0521.4Pad.Up11.2","Actinopteri","Oncorhynchus clarkii",33671
"MiFish.0521.4Pad.Up11.2","Actinopteri","Oncorhynchus kisutch",4853
"MiFish.0521.4Pad.Up11.2","Actinopteri","Oncorhynchus mykiss",15788
"MiFish.0521.4Pad.Up11.2","Actinopteri","Perca flavescens",1133
"MiFish.0521.4Pad.Up5.1","Actinopteri","Oncorhynchus clarkii",418
"MiFish.0521.4Pad.Up5.1","Actinopteri","Oncorhynchus mykiss",57294
"MiFish.0521.4Pad.Up5.1","Actinopteri","Perca flavescens",5428
"MiFish.0521.4Pad.Up5.2","Actinopteri","Oncorhynchus mykiss",65732
"MiFish.0521.4Pad.Up5.2","Actinopteri","Perca flavescens",4518
"MiFish.0521.4Pad.Up5.3","Actinopteri","Oncorhynchus clarkii",975
"MiFish.0521.4Pad.Up5.3","Actinopteri","Oncorhynchus kisutch",10
"MiFish.0521.4Pad.Up5.3","Actinopteri","Oncorhynchus mykiss",43687
"MiFish.0521.4Pad.Up5.3","Actinopteri","Perca flavescens",1621
"MiFish.0521.5Sqm.Dn.1","Actinopteri","Oncorhynchus clarkii",52163
"MiFish.0521.5Sqm.Dn.1","Actinopteri","Oncorhynchus kisutch",22653
"MiFish.0521.5Sqm.Dn.1","Actinopteri","Pimephales promelas",684
"MiFish.0521.5Sqm.Dn.1","Aves","Turdus migratorius",155
"MiFish.0521.5Sqm.Dn.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",9604
"MiFish.0521.5Sqm.Dn.2","Actinopteri","Oncorhynchus clarkii",55973
"MiFish.0521.5Sqm.Dn.2","Actinopteri","Oncorhynchus kisutch",26047
"MiFish.0521.5Sqm.Dn.2","Actinopteri","Pimephales promelas",5362
"MiFish.0521.5Sqm.Dn.2","Aves","Turdus migratorius",99
"MiFish.0521.5Sqm.Dn.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",11336
"MiFish.0521.5Sqm.Dn.3","Actinopteri","Oncorhynchus clarkii",23506
"MiFish.0521.5Sqm.Dn.3","Actinopteri","Oncorhynchus kisutch",10562
"MiFish.0521.5Sqm.Dn.3","Actinopteri","Oncorhynchus mykiss",780
"MiFish.0521.5Sqm.Dn.3","Actinopteri","Pimephales promelas",866
"MiFish.0521.5Sqm.Dn.3","Hyperoartia","Lampetra sp. CBM:ZF:17561",3117
"MiFish.0521.5Sqm.Up.1","Actinopteri","Oncorhynchus clarkii",44953
"MiFish.0521.5Sqm.Up.1","Actinopteri","Oncorhynchus kisutch",19768
"MiFish.0521.5Sqm.Up.1","Actinopteri","Oncorhynchus mykiss",345
"MiFish.0521.5Sqm.Up.1","Actinopteri","Pimephales promelas",1837
"MiFish.0521.5Sqm.Up.1","Aves","Turdus migratorius",167
"MiFish.0521.5Sqm.Up.1","Hyperoartia","Lampetra sp. CBM:ZF:17561",1981
"MiFish.0521.5Sqm.Up.2","Actinopteri","Oncorhynchus clarkii",24800
"MiFish.0521.5Sqm.Up.2","Actinopteri","Oncorhynchus kisutch",7673
"MiFish.0521.5Sqm.Up.2","Actinopteri","Oncorhynchus mykiss",198
"MiFish.0521.5Sqm.Up.2","Actinopteri","Pimephales promelas",3640
"MiFish.0521.5Sqm.Up.2","Hyperoartia","Lampetra sp. CBM:ZF:17561",1611
"MiFish.0521.5Sqm.Up.3","Actinopteri","Oncorhynchus clarkii",69429
"MiFish.0521.5Sqm.Up.3","Actinopteri","Oncorhynchus kisutch",27671
"MiFish.0521.5Sqm.Up.3","Actinopteri","Oncorhynchus mykiss",1041
